date_capteur,date_satellite,days_diff,station_id,latitude,longitude,pH,oxygene_dissous,COD,CODMn,NH4N,TPH,DIP,DIN,quality_score,NDWI,chlorophyll_index,turbidity_index,is_interpolated
2018-02-12,2018-02-12,0,62,19.2720963,108.6903554,7.213725490196079,6.775490196078431,0.86,1.927450980392157,0.09725490196078432,0.014,0.008,0.145,10.0,-0.48861228603956786,0.9543768532921297,110703.92156862745,True
2018-02-19,2018-02-19,0,62,19.2720963,108.6903554,7.215686274509804,6.776274509803922,0.86,1.9313725490196079,0.09686274509803922,0.014,0.008,0.145,10.0,-0.4918436400102637,0.9506449394164513,109540.19607843137,True
2018-02-26,2018-02-26,0,62,19.2720963,108.6903554,7.2176470588235295,6.777058823529412,0.86,1.9352941176470588,0.09647058823529411,0.014,0.008,0.145,10.0,-0.4950749939809595,0.9469130255407731,108376.4705882353,True
2018-03-05,2018-03-05,0,62,19.2720963,108.6903554,7.219607843137255,6.7778431372549015,0.86,1.9392156862745098,0.09607843137254901,0.014,0.008,0.145,10.0,-0.4983063479516553,0.9431811116650948,107212.74509803922,True
2018-03-12,2018-03-12,0,62,19.2720963,108.6903554,7.2215686274509805,6.778627450980392,0.86,1.9431372549019608,0.09568627450980392,0.014,0.008,0.145,10.0,-0.5015377019223511,0.9394491977894164,106049.01960784313,True
2018-03-19,2018-03-19,0,62,19.2720963,108.6903554,7.223529411764706,6.779411764705882,0.86,1.9470588235294117,0.09529411764705882,0.014,0.008,0.145,10.0,-0.504769055893047,0.9357172839137381,104885.29411764706,True
2018-03-26,2018-03-26,0,62,19.2720963,108.6903554,7.2254901960784315,6.780196078431373,0.86,1.9509803921568627,0.09490196078431373,0.014,0.008,0.145,10.0,-0.5080004098637427,0.9319853700380598,103721.56862745098,True
2018-04-02,2018-04-02,0,62,19.2720963,108.6903554,7.227450980392157,6.780980392156863,0.86,1.9549019607843139,0.09450980392156863,0.014,0.008,0.145,10.0,-0.5112317638344386,0.9282534561623815,102557.84313725491,True
2018-04-09,2018-04-09,0,62,19.2720963,108.6903554,7.229411764705882,6.7817647058823525,0.86,1.9588235294117649,0.09411764705882353,0.014,0.008,0.145,10.0,-0.5144631178051344,0.9245215422867032,101394.11764705883,True
2018-04-16,2018-04-16,0,62,19.2720963,108.6903554,7.231372549019608,6.782549019607843,0.86,1.9627450980392158,0.09372549019607843,0.014,0.008,0.145,10.0,-0.5176944717758303,0.9207896284110249,100230.39215686274,True
